competition,race_type,sex,host_nation,country,day,month,year,time,latitude,longitude,NOAA_stationid,station_location,station_distance,air_temp,dew_pt,wind_speed,adj_wind_speed,relative_humidity,clouds,diff_req_time,time_zone,solar_rad,heat_index,simp_wetbulb_globetemp,wetbulb_globetemp,world_record,standing_record,first_place,second_place,third_place,,,,,,,,,,,
Olympic,10k,Men,RIO DE JANEIRO,BRAZIL,13,8,2016,21:27:00,-22.911013,-43.209372,83755099999,BR; SANTOS DUMONT,4.7,21.0,17.0,3.6,1.5,77.9,6,27,-3,0,21.2,23.5,18.9,00:26:18,00:27:01,00:27:05,00:27:06,00:27:06,,,,,,,,,,,
Olympic,10k,Women,Barcelona,Spain,7,8,1992,21:15:00,41.3828939,2.1774322,8181099999,SP; BARCELONA,12.6,23.1,21.2,2.1,0.9,89.1,8,10,2,602,23.8,26.9,25.9,00:30:14,00:31:05,00:31:06,00:31:12,00:31:20,,,,,,,,,,,
Olympic,10k,Women,Atlanta, US,2,8,1996,21:30:00,33.7490987,-84.390184,72219599999,GA US; FULTON CO AIRPORT BROW,11.9,29.0,18.0,0.0,0.0,51.6,9,30,-4,0,29.9,28.5,23.5,00:29:32,00:31:05,00:31:02,00:31:03,00:31:07,,,,,,,,,,,
Olympic,10k,Women, Sydney,Australia,30,9,2000,19:00:00,-33.854815,151.216453,94768099999,AS; SYDNEY OBSERVATORY HILL,1.6,21.0,12.0,3.6,1.5,56.4,3,0,10,0,20.6,21.4,16.8,00:29:32,00:31:02,00:30:17,00:30:22,00:30:23,,,,,,,,,,,
Olympic,10k,Women, ATHENS,GREECE,27,8,2004,21:50:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,25.6,14.7,3.6,1.5,51.0,2,50,3,0,25.5,25,20.4,00:29:32,00:30:17,00:30:24,00:30:25,00:30:26,,,,,,,,,,,
Olympic,10k,Women,beijing,CHINA,15,8,2008,22:45:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,20.0,16.0,4.0,1.7,77.8,6,15,8,0,20.1,22.4,17.9,00:29:32,00:30:17,00:29:55,00:30:22,00:30:26,,,,,,,,,,,
Olympic,10k,Women,LONDON,UK,3,8,2012,21:25:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,17.0,11.0,3.6,1.5,67.8,5,25,1,0,16.5,18.7,14.2,00:29:32,00:29:55,00:30:21,00:30:26,00:30:30,,,,,,,,,,,
Olympic,10k,Women,RIO DE JANEIRO,BRAZIL,12,8,2016,11:10:00,-22.911013,-43.209372,83755099999,BR; SANTOS DUMONT,4.7,17.0,16.0,1.0,0.4,93.8,8,10,-3,17,17.2,20.7,16.2,00:29:32,00:29:55,00:29:17,00:29:33,00:29:43,,,,,,,,,,,
Olympic,10k,Men,Los Angeles,USA,6,8,1984,8:25:00,1:17:19,-118.24276,72295023174,CA US; LOS ANGELES INTERNATIONAL AIRPORT,18.6,19.4,11.0,2.1,0.9,58.3,1,17,-8,560,18.9,20.1,19.6,00:27:13,00:27:40,00:27:48,00:28:06,00:28:06,,,,,,,,,,,
World Championships,10k,Men,TOKYO,JAPAN,26,8,1991,20:10:00,35.6828387,139.759454,47662099999,JA; TOKYO,0.7,23.1,18.5,5.1,2.1,75.4,6,10,9,0,23.4,25.4,20.7,00:27:08,00:27:39,00:27:39,00:27:39,00:27:42,,,,,,,,,,,
World Championships,10k,Men,stuttgart,Germany,22,8,1993,17:00:00,48.7784485,9.1800132,Messstetten,,67.0,25.8,9.4,6.7,2.8,35.6,0,,2,637,25.4,23.2,21.4,00:26:58,00:27:39,00:27:46,00:27:47,00:28:06,,,,,,,,,,,
World Championships,10k,Men,goteborg,SWEDEN,8,8,1995,18:35:00,57.7072326,11.9670171,2512099999,SW; SAVE,9.4,15.0,8.0,2.6,1.1,63.0,4,15,2,380,14.2,16.7,14.6,00:26:44,00:27:39,00:27:13,00:27:15,00:27:15,,,,,,,,,,,
World Championships,10k,Men,ATHENS,GREECE,6,8,1997,20:35:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,26.6,17.4,0.0,0.0,57.1,3,25,3,0,26.8,26.8,21.9,00:26:31,00:27:13,00:27:25,00:27:26,00:27:29,,,,,,,,,,,
World Championships,10k,Men,SEVILLA,SPAIN,24,8,1999,21:30:00,37.3886303,-5.9953403,8391099999,SP; SEVILLA,9.6,28.0,23.0,4.1,1.7,74.4,6,0,2,0,31.3,30.9,25.3,00:26:23,00:27:13,00:27:57,00:27:59,00:27:59,,,,,,,,,,,
World Championships,10k,Men,EDMONTON,CANADA,8,8,2001,21:30:00,53.535411,-113.50799,71157099999,CA; EDMONTON MUNICIPAL CR10 ALTA,3.5,13.0,10.0,1.1,0.5,82.0,7,,-6,243,12.5,16.1,13.6,00:26:23,00:27:13,00:27:53,00:27:54,00:27:54,,,,,,,,,,,
World Championships,10k,Men,PARIS,FRANCE,24,8,2003,19:00:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,22.9,11.9,4.1,1.7,50.0,2,0,2,401,22.6,22.4,20.1,00:26:23,00:27:13,00:26:50,00:26:51,00:27:01,,,,,,,,,,,
World Championships,10k,Men,HELSINKI,FINLAND,8,8,2005,19:20:00,60.1674098,24.9425769,2988099999,FI; ISOSAARI,10.2,18.4,16.7,10.0,4.1,89.8,8,80,3,46,18.6,21.8,17.6,00:26:20,00:26:50,00:27:08,00:27:09,00:27:09,,,,,,,,,,,
World Championships,10k,Men,OSAKA,JAPAN,27,8,2007,21:40:00,34.6198813,135.490357,47772099999,JA; OSAKA,7.5,29.2,23.9,3.1,1.3,73.2,6,20,9,0,33.8,32.2,26.3,00:26:18,00:26:50,00:27:06,00:27:09,00:27:12,,,,,,,,,,,
World Championships,10k,Men,BERLIN,GERMANY,17,8,2009,20:50:00,52.5170365,13.3888599,10384099999,GM; TEMPELHOF,5.0,24.0,12.0,1.1,0.5,47.1,1,,2,17,23.7,23.1,18.6,00:26:18,00:26:50,00:26:46,00:26:50,00:26:57,,,,,,,,,,,
World Championships,10k,Men,DAEGU ,KOREA,28,8,2011,19:30:00,35.8713,128.6018,47143099999,KS; TAEGU ACC KOR AFB,1.9,23.2,20.1,2.1,0.9,82.8,7,90,9,0,23.7,26.4,21.4,00:26:18,00:26:46,00:27:14,00:27:14,00:27:19,,,,,,,,,,,
World Championships,10k,Men,Moscow,RUSSIA,10,8,2013,18:55:00,55.7504461,37.6174943,27612099999,RS; MOSKVA VDNH DOLGOPRUDNYJ,9.2,20.9,17.8,0.0,0.0,82.5,7,55,3,52,21.2,23.8,19.7,00:26:18,00:26:46,00:27:22,00:27:22,00:27:23,,,,,,,,,,,
World Championships,10k,Men,BEIJING ,CHINA,22,8,2015,20:50:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,22.5,18.1,3.0,1.2,76.2,6,10,8,0,22.8,24.9,20.2,00:26:18,00:26:46,00:27:01,00:27:02,00:27:03,,,,,,,,,,,
World Championships,10k,Men,LONDON,UK,4,8,2017,21:20:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,19.0,13.0,5.3,2.2,68.2,5,20,1,0,18.7,20.6,16.1,00:26:18,00:26:46,00:26:50,00:26:50,00:26:51,,,,,,,,,,,
World Championships,10k,Men,DOHA,QATAR,6,10,2019,20:00:00,25.2856329,51.5264162,41170099999,QA; DOHA INTERNATIONAL,4.7,31.7,21.9,2.1,0.9,56.3,3,0,3,0,35.4,32.3,26.6,00:26:18,00:26:46,00:26:48,00:26:49,00:26:50,,,,,,,,,,,
World Championships,10k,Women,TOKYO,JAPAN,30,8,1991,19:05:00,35.6828387,139.759454,47662099999,JA; TOKYO,0.7,26.1,24.4,5.1,2.1,90.4,8,5,9,0,27.1,30.8,25.1,00:30:14,00:31:06,00:31:14,00:31:35,00:31:36,,,,,,,,,,,
World Championships,10k,Women,goteborg,SWEDEN,9,8,1995,19:10:00,57.7072326,11.9670171,2512099999,SW; SAVE,9.4,17.0,14.0,2.6,1.1,82.5,7,20,2,170,16.9,19.9,16.5,00:29:32,00:30:49,00:31:05,00:31:08,00:31:18,,,,,,,,,,,
World Championships,10k,Women,ATHENS,GREECE,5,8,1997,19:55:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,28.0,14.0,3.1,1.3,42.3,1,5,3,31,27.8,26.1,21.6,00:29:32,00:30:49,00:31:33,00:31:39,00:31:42,,,,,,,,,,,
World Championships,10k,Women,SEVILLA,SPAIN,26,8,1999,21:00:00,37.3886303,-5.9953403,8391099999,SP; SEVILLA,9.6,27.2,15.7,3.6,1.5,49.5,2,0,2,0,27.6,26.4,21.6,00:29:32,00:30:49,00:30:25,00:30:27,00:30:32,,,,,,,,,,,
World Championships,10k,Women,EDMONTON,CANADA,7,8,2001,21:05:00,53.535411,-113.50799,71157099999,CA; EDMONTON MUNICIPAL CR10 ALTA,3.5,16.0,11.0,1.7,0.7,72.2,5,,-6,345,15.5,18.2,16.4,00:29:32,00:30:25,00:31:49,00:31:49,00:31:50,,,,,,,,,,,
World Championships,10k,Women,PARIS,FRANCE,23,8,2003,20:15:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,21.9,15.5,2.1,0.9,67.1,4,15,2,174,21.9,23.3,19.9,00:29:32,00:30:25,00:30:04,00:30:07,00:30:07,,,,,,,,,,,
World Championships,10k,Women,HELSINKI,FINLAND,6,8,2005,21:15:00,60.1674098,24.9425769,2988099999,FI; ISOSAARI,10.2,15.8,15.0,5.0,2.1,95.0,8,15,3,0,15.9,19.6,15.2,00:29:32,00:30:04,00:30:24,00:30:25,00:30:26,,,,,,,,,,,
World Championships,10k,Women,OSAKA,JAPAN,25,8,2007,21:50:00,34.6198813,135.490357,47772099999,JA; OSAKA,7.5,26.5,18.9,1.5,0.6,63.1,4,10,9,0,26.9,27.6,22.6,00:29:32,00:30:04,00:31:55,00:32:02,00:32:04,,,,,,,,,,,
World Championships,10k,Women,BERLIN,GERMANY,15,8,2009,19:25:00,52.5170365,13.3888599,10384099999,GM; TEMPELHOF,5.0,27.0,6.0,5.6,2.3,26.3,0,,2,247,26.3,22.9,19.5,00:29:32,00:30:04,00:30:51,00:30:51,00:30:52,,,,,,,,,,,
World Championships,10k,Women,DAEGU ,KOREA,27,8,2011,21:00:00,35.8713,128.6018,47143099999,KS; TAEGU ACC KOR AFB,1.9,21.9,19.6,0.5,0.2,86.8,8,0,9,0,22.4,25.3,20.3,00:29:32,00:30:04,00:30:49,00:30:50,00:30:54,,,,,,,,,,,
World Championships,10k,Women,Moscow,RUSSIA,11,8,2013,21:05:00,55.7504461,37.6174943,27612099999,RS; MOSKVA VDNH DOLGOPRUDNYJ,9.2,20.2,20.1,1.0,0.4,99.4,8,5,3,19,20.9,24.6,19.9,00:29:32,00:30:04,00:30:43,00:30:45,00:30:47,,,,,,,,,,,
World Championships,10k,Women,BEIJING ,CHINA,24,8,2015,20:35:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,20.0,18.0,3.0,1.2,88.3,8,5,8,0,20.4,23.4,18.8,00:29:32,00:30:04,00:31:41,00:31:42,00:31:43,,,,,,,,,,,
World Championships,10k,Women,LONDON,UK,5,8,2017,20:10:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,19.0,8.0,4.2,1.7,48.9,1,10,1,0,18.2,18.9,14.3,00:29:17,00:30:04,00:30:16,00:31:03,00:31:03,,,,,,,,,,,
World Championships,10k,Women,DOHA,QATAR,28,9,2019,21:10:00,25.2856329,51.5264162,41170099999,QA; DOHA INTERNATIONAL,4.7,32.4,24.5,0.5,0.2,63.3,4,10,3,0,39.1,34.4,28.2,00:29:17,00:30:04,00:30:18,00:30:21,00:30:25,,,,,,,,,,,
Common Wealth,10k,Men,Brisbane,Australia,3,10,1982,21:00:00,-27.468968,153.023499,94578099999,AS; BRISBANE AIRPORT,7.2,15.0,11.0,0.0,0.0,77.0,6,0,10,0,14.6,17.6,12.3,,,,,,,,,,,,,,,,
Common Wealth,10k,Men,Kuala Lumpur,Malaysia,16,9,1998,21:00:00,3.1516964,101.694237,48647099999,MY; SULTAN ABDUL AZIZ SHAH INTERNATIONAL,16.3,25.8,23.8,2.1,0.9,88.8,8,0,8,0,26.8,30.2,24.6,,,,,,,,,,,,,,,,
